Mouse	Group	separatedyn	OriginalCageID
1	1	0	1
2	1	0	1
3	1	0	1
4	1	0	1
5	1	0	1
6	1	0	2
7	1	0	2
8	1	0	2
9	1	0	2
10	1	0	2
11	1	0	3
12	1	0	3
13	1	0	3
14	1	0	3
15	1	0	4
16	1	0	4
17	1	0	4
18	1	1	4
19	1	1	4
20	2	0	5
21	2	0	5
22	2	0	5
23	2	0	5
24	2	0	6
25	2	0	6
26	2	0	6
27	2	0	7
28	2	0	7
29	2	0	7
30	3	1	8
31	3	1	8
32	3	1	8
33	3	0	8
34	3	1	9
35	3	1	9
36	3	0	9
37	3	0	9
38	3	0	9
39	3	1	10
40	3	1	10
41	3	1	10
42	3	0	10
43	3	0	11
44	3	0	11
45	3	0	11
46	3	0	11
47	3	0	11
48	4	1	12
49	4	1	12
50	4	0	12
51	4	0	13
52	4	0	13
53	4	0	14
54	4	0	14
55	5	1	15
56	5	1	15
57	5	0	15
58	5	0	15
59	5	0	15
60	5	1	16
61	5	1	16
62	5	1	16
63	5	0	16
64	5	0	16
65	5	0	17
66	5	0	17
67	5	0	17
68	5	0	17
69	5	0	17
70	5	0	18
71	5	0	18
72	5	0	18
73	5	0	18
74	5	0	18
75	5	0	19
76	5	0	19
77	5	0	19
78	5	0	19
79	5	0	19
80	5	1	20
81	5	0	20
82	5	0	20
83	5	0	20
84	5	0	20
85	5	0	21
86	5	0	21
87	5	0	21
88	5	0	21
89	5	0	21
90	5	0	22
91	5	0	22
92	5	0	22
93	5	0	22
94	5	0	22
95	5	0	23
96	5	0	23
97	5	0	23
98	5	0	23
99	5	0	23
100	5	0	24
101	5	0	24
102	5	0	24
103	5	0	24
104	5	0	24
105	5	0	25
106	5	0	25
107	5	0	25
108	5	0	25
109	5	0	25
110	5	0	26
111	5	0	26
112	5	0	26
113	5	0	26
114	5	0	26
115	5	0	27
116	5	0	27
117	5	0	27
118	5	0	27
119	5	0	27
120	5	0	28
121	5	0	28
122	5	0	28
123	5	0	28
124	5	0	28
125	5	0	29
126	5	0	29
127	5	0	29
128	5	0	29
129	5	0	29
130	5	0	30
131	5	0	30
132	5	0	30
133	5	0	30
134	5	0	30
135	5	0	31
136	5	0	31
137	5	0	31
138	5	0	31
139	5	0	31
140	5	0	32
141	5	0	32
142	5	0	32
143	5	0	32
144	5	0	32
145	5	0	33
146	5	0	33
147	5	0	33
148	5	0	33
149	5	0	33
150	5	0	34
151	5	0	34
152	5	0	34
153	5	0	34
154	5	0	34
